2026-06-25 14:47:46.596 [info] Starting Excalidraw MCP server...
2026-06-25 14:47:46.599 [debug] Connecting to transport...
2026-06-25 14:47:46.599 [info] Excalidraw MCP server running on stdio
2026-06-25 14:47:46.619 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.620 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.621 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.621 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.621 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.622 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.622 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.623 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.623 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.624 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.625 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.625 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.626 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.626 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.626 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.626 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.626 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.627 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.627 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.627 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.627 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.628 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.628 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.628 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.628 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.628 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.628 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.628 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.629 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.629 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.629 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.629 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.630 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.631 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.631 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.631 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.632 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.632 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.632 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.632 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.633 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.633 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.633 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.633 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.634 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.634 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.634 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.634 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.635 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.635 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.635 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.636 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.636 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.636 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.636 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.637 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.637 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.637 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.637 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.637 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.638 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.638 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.638 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.638 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.638 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.639 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.639 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.639 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.639 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.640 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.640 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.640 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.640 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.641 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.641 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.641 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.641 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.642 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.642 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.642 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.642 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.643 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.643 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.643 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.643 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.644 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.644 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.644 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.644 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.645 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.645 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.645 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.645 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.645 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.646 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.646 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.646 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.646 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.647 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.647 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.647 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.647 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.648 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.648 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.648 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.648 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.648 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.648 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.648 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.648 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.649 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.649 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.649 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.649 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.649 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.649 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.649 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.649 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.651 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.651 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.651 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.652 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.652 [error] Uncaught exception: EPIPE: broken pipe, write
